Title,Price,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Condition,Quantity,Description 1,Description 2,Description 3,Description 4,Description 5,Description 6,Description 7,Description 8,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Policy,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM,META_purchaseCost,META_fullCost,META_sellPrice
Acco Brands Butterfly Small Number 2 Paper Clips - 1 1/2 inches - Pack of 50 - Silver,1.29,Office Supplies,General Supplies,Paper Clips & Clamps,,,,New,10000,"These clips are perfect for large numbers of papers or thick papers. They are priced per box. #1, 1-1/2"", 50/Box</p> <b> </b> <ul> <li>Box of 50</li> <li>Size #1 - 1 1/2""</li> <li>Metal</li> <li>A great alternative to paper clips</li> <li>Holds larger sta",cks of documents</li> </ul> <p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=788308&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,CLIPS/FASTENERS/RUBBER BANDS,PAPER CLIPS,,School Specialty,000069,PACK OF 50,$0.97,$1.12,1.29
School Smart Staple Remover,.69,Office Supplies,General Supplies,Staples,,,,New,10000,Rust-proof steel jaws remove staples easily without damaging paper. Contoured to fit the fingers.</p> <b> </b> <ul> <li>One Remover</li> <li>Great price on basic remover</li> <li>Steel jaws</li> <li>Contoured plastic handle</li> </ul> <p>,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763339&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,STAPLING/ACCESSORIES,STAPLE REMOVER,,School Specialty,000189,EACH,$0.52,$0.60,.69
Aleenes Tacky Glue - 4 Ounce Bottle,1.99,Hardware,"Adhesives, Coatings & Sealants",Glues,White Glue,,,New,10000,"Superior for craft projects! Apply to paper, wood and non-washable fabric craft projects. Dries colorless and flexible. Not intended for items to be washed. <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msd",s_001665.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Sheet Download' /><br />MSDS download for Aleenes Tacky Glue - 4 Ounce Bottle</a></p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=751558&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,GLUE/ADHESIVES,WHITE/GEL,,School Specialty,001665,EACH,$1.49,$1.71,1.99
Ross Glue Stik - 1.4 Ounces - White,2.29,Hardware,"Adhesives, Coatings & Sealants",Glues,Glue Gun Sticks,,,New,10000,"Safe, non-toxic white glue in handy stick form. Launders out of clothing. Excellent for preschool. <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_001869.pdf 'target='_blank'><img src='http://ssiucm.scho",olspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Sheet Download' /><br />MSDS download for Ross Glue Stik- 1.4 oz.</a></p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=776022&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,GLUE/ADHESIVES,GLUE STICK,,School Specialty,001869,EACH,$1.72,$1.98,2.29
Pendaflex Vertical Filing Jackets - Letter Size- 1 inch Expansion Vertical Filing Jackets,.99,Office Supplies,Filing & Organization,Folders & Report Covers,,,,New,10000,"One-Piece Construction. These one-piece, manila filing jackets have backs that extend 1/2 inch above the front. Gussets extend to the full height of the jacket. 1"" vertical expansion, letter size. 11-3/4"" x 9-1/2"".",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=759069&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,FILING,FILE JACKETS,,School Specialty,001929,EACH,$0.74,$0.85,.99
School Smart Marbleback Composition Books - Hard Cover; 60 Sheet Count - 9.75 x 7.5 .,1.59,Office Supplies,General Supplies,Paper Products,,,,New,10000,"Popular black marble pattern covers are taped and sewn to 16 lb. white sulphite paper - excellent for pen and pencil use. Wide ruled with red margin lines. Covers have space where students can write name, school and grade. Useful weights and measures info",". is printed on back cover. Ruled 3/8"".</p> <b> </b> <ul> <li>Sold Individually</li> <li>Durable hard cover with classic black and white marble design</li> <li>Quality white sulphite paper with 0.375 inch ruling</li> <li>Front cover has space for name, sc",hool and grade</li> <li>Useful weights and measures on back cover</li> </ul> <p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=754840&encrypt=.jpg,,,,,SCHOOL SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002040,EACH,$1.19,$1.37,1.59
School Smart Marbleback Composition Books - Flexible Cover; 20 sheet count - 8.5 x 7 .,1.19,Office Supplies,General Supplies,Paper Products,,,,New,10000,"Popular black marble pattern covers are taped and sewn to 16 lb. white sulphite paper - excellent for pen and pencil use. Wide ruled with red margin lines. Covers have space where students can write name, school and grade. Useful weights and measures info",". is printed on back cover. Ruled 3/8"".</p> <b> </b> <ul> <li>Sold Individually</li> <li>Durable flexible cover with classic black and white marble design</li> <li>Quality white sulphite paper with 0.375 inch ruling</li> <li>Front cover has space for name",", school and grade</li> <li>Useful weights and measures on back cover</li> </ul> <p>",,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=754615&encrypt=.jpg,,,,,SCHOOL SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002043,EACH,$0.89,$1.02,1.19
School Smart Marbleback Composition Books - Flexible Cover; 36 Sheet Count - 8.5 x 7 .,1.19,Office Supplies,General Supplies,Paper Products,,,,New,10000,"Popular black marble pattern covers are taped and sewn to 16 lb. white sulphite paper - excellent for pen and pencil use. Wide ruled with red margin lines. Covers have space where students can write name, school and grade. Useful weights and measures info",". is printed on back cover. Ruled 3/8"".</p> <b> </b> <ul> <li>Sold as Single Unit</li> <li>Durable flexible cover with classic black and white marble design</li> <li>Quality white sulphite paper with 0.375 inch ruling</li> <li>Front cover has space for na","me, school and grade</li> <li>Useful weights and measures on back cover</li> </ul> <p>",,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=754690&encrypt=.jpg,,,,,SCHOOL SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002046,EACH,$0.89,$1.02,1.19
School Smart Marbleback Composition Books - Flexible Cover;24 Sheet Count - 8.5 x 7 .,1.19,Office Supplies,General Supplies,Paper Products,,,,New,10000,"Popular black marble pattern covers are taped and sewn to 16 lb. white sulphite paper - excellent for pen and pencil use. Wide ruled with red margin lines. Covers have space where students can write name, school and grade. Useful weights and measures info",". is printed on back cover. Ruled 3/8"".</p> <b> </b> <ul> <li>Sold Individually</li> <li>Durable flexible cover with classic black and white marble design</li> <li>Quality white sulphite paper with 3/8"" ruling</li> <li>Front cover has space for name, scho",ol and grade</li> <li>Useful weights and measures on back cover</li> </ul> <p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=754684&encrypt=.jpg,,,,,SCHOOL SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002049,EACH,$0.89,$1.02,1.19
School Smart Marbleback Composition Books - Flexible Cover; 60 Sheet Count - 9.75 x 7.5 .,1.59,Office Supplies,General Supplies,Paper Products,,,,New,10000,"Popular black marble pattern covers are taped and sewn to 16 lb. white sulphite paper - excellent for pen and pencil use. Wide ruled with red margin lines. Covers have space where students can write name, school and grade. Useful weights and measures info",". is printed on back cover. Ruled 3/8"".</p> <b> </b> <ul> <li>Sold as Single Unit</li> <li>Durable flexible cover with classic black and white marble design</li> <li>Quality white sulphite paper with 3/8"" ruling</li> <li>Front cover has space for name, sc",hool and grade</li> <li>Useful weights and measures on back cover</li> </ul> <p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=754705&encrypt=.jpg,,,,,SCHOOL SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002052,EACH,$1.19,$1.37,1.59
