Title,Price,Cat_ID,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM
Trend Enterprises Fun to Know Puzzles - What Goes Together - Set of 24,9.99,10,,,New,10000,"Match common objects to expand vocabulary and basic life skills. 24 puzzles/48 pieces. Make it fun with interactive, hands-on learning. Reinforce early childhood topics with these hands-on activities that challenge young minds. Format adapts to abilities ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=761861&encrypt=.jpg,,,,,Early Childhood,EARLY LEARNING,EC PUZZLES,PRESCHOOL,,School Specialty,90547,EACH
Trend Enterprises Fun to Know Puzzles - Numbers 1 to 20 - Set of 20,9.99,10,,,New,10000,"Practice counting skills, identify numerals, and learn number values. 20 puzzles/40 pieces. Make it fun with interactive, hands-on learning. Reinforce early childhood topics with these hands-on activities that challenge young minds. Format adapts to abili",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=761911&encrypt=.jpg,,,,,Early Childhood,EARLY LEARNING,EC PUZZLES,PRESCHOOL,,School Specialty,90549,EACH
Trend Enterprises Fun to Know Puzzles - Community Helpers - Set of 20,9.99,10,,,New,10000,"Match everyday helpers to the common tools they use. Format adapts to abilities and features interlocking pieces with photographs for easy recognition and retention. 20 puzzles/40 pieces. Sturdy, durable pieces with self-checking design. Ages 3+.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=761891&encrypt=.jpg,,,,,Early Childhood,EARLY LEARNING,EC PUZZLES,PRESCHOOL,,School Specialty,90552,EACH
School Smart Rubber Band Ball - Multiple Colors,2.69,10,,,New,10000,Find you rubber bands easily with this brightly colored rubber band ball.</p> <b> </b> <ul> <li>No More Loose Rubberbands Laying Around!</li> <li>Bright colors</li> </ul> <p>,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=798645&encrypt=.jpg,,,,,Art,OFFICE SUPPLIES,CLIPS/FASTENERS/RUBBER BANDS,RUBBER BANDS,,School Specialty,90668,EACH
Creativity Street Barrel of Clay Tools - Set of 144 Cutters Plus 5 Tools - Assorted Colors,60.99,19,,,New,10000,"A huge assortment of colorful, plastic cutters in the shapes of animals and objects. 144 Cutters (24 shapes) and 5 dough tools included in plastic jar.</p> <b> </b> <ul> <li>All You Need For Dough/Clay Fun</li> <li>Use barrel for storage</li> </ul> <p>",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=797270&encrypt=.jpg,,,,,Art,ART SUPPLIES,CERAMICS/SCULPTURE,TOOLS CERAMICS,,School Specialty,91367,SET OF 149
The Pencil Grip Latex Free Phthalate Free Ambidextrous Pencil Grips - Pack of 12 - Assorted Colors,23.49,10,,,New,10000,"The Pencil Grip is a revolutionary applied technology that works with the body s natural physiology to gently place fingers in the proper position for gripping. Allowing over a 90% surface contact with its soft comfortable gripping surface, The Pencil Gri",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1031146&encrypt=.jpg,,,,,Art,WRITING,WRITING ACCESSORIES,PENCIL GRIPS,,School Specialty,1004526,PACK OF 12
"Sensory Balls - Success Ball - 6"" (15cm), Set of 6",24.99,8,,,New,10000,"We bring you the absolute best selection of easy-to-see, fun-to-touch, easy-to-grasp, oohing-and-aahing tactile balls you've ever laid your hands on. Watch your children touch and LEARN with delight! Made of EVA foam pellet surrounded by LYCRA and mesh pa",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1031154&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,LEADUP SKILLS,THROWING/CATCHING,,School Specialty,1004528,EACH
"Sensory Balls -SensationBall - 8""(20cm) Set of 6",31.49,8,,,New,10000,"We bring you the absolute best selection of easy-to-see, fun-to-touch, easy-to-grasp, oohing-and-aahing tactile balls you've ever laid your hands on. Watch your children touch and LEARN with delight! A vinyl ball filled with two smaller balls. As the ball",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1031158&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,LEADUP SKILLS,THROWING/CATCHING,,School Specialty,1004529,EACH
Champion Sports Standard Scooter Board With Handles - 12 x 12 inch - Assorted Colors,20.99,8,,,New,10000,"Fun to use and easy to store! 12"" x 12"" heavy plastic scooter with handles and non-marring swivel casters. Approximately 200 lb. weight limit. Stores easily and safely on Scooter Stacker (sold separately).",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1031167&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,LEADUP SKILLS,SCOOTERS/SCOOTER ACTIVITIES,,School Specialty,1004553,EACH
"Sportime Medicine Balls - 4-5 lbs. 9.5""D (1.8-2kg, 24.1cm)",18.09,8,,,New,10000,"Hand-Sewn Synthetic Leather, Color-Coded Weights A step up in a traditional, stuffed, Medicine Ball. These colorful balls are fabricated for us by one of the world s finest hand-sewing manufacturers. They're stuffed with weighted material and color coded ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1031171&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,FITNESS,WEIGHTS/WEIGHT TRAINING,,School Specialty,1004563,EACH
