Title,Price,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Condition,Quantity,Description 1,Description 2,Description 3,Description 4,Description 5,Description 6,Description 7,Description 8,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Policy,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM,META_purchaseCost,META_fullCost,META_sellPrice
Acco Brands Butterfly Small Number 2 Paper Clips - 1 1/2 inches - Pack of 50 - Silver,$1.29,Office Supplies,General Supplies,Paper Clips & Clamps,,,,New,10000,ACCO Butterfly Small Number 2 Paper Clip is ideal for large numbers of papers or thick papers. Steel wire clip in silver color measures 1-1/2 in and is sold as 50 per pack.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596821&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,CLIPS/FASTENERS/RUBBER BANDS,PAPER CLIPS,,School Specialty,000069,PACK OF 50,$0.97,$1.12,$1.29
School Smart Staple Remover,$0.69,Office Supplies,General Supplies,Staples,,,,New,10000,School Smart Staple Remover is contoured to fit the fingers. Rust-proof steel jaws remove staples easily without damaging paper.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596822&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,STAPLING/ACCESSORIES,STAPLE REMOVER,,School Specialty,000189,EACH,$0.52,$0.60,$0.69
Aleenes Tacky Glue - 4 Ounce Bottle,$1.99,Hardware,"Adhesives, Coatings & Sealants",Glues,White Glue,,,New,10000,"Aleenes Tacky Glue in 4 oz bottle is applied to paper, wood and non-washable fabric craft projects. Glue is flexible and dries out colorless.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596862&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,GLUE/ADHESIVES,WHITE/GEL,,School Specialty,001665,EACH,$1.49,$1.71,$1.99
Ross Glue Stik - 1.4 Ounces - White,$2.29,Hardware,"Adhesives, Coatings & Sealants",Glues,Glue Gun Sticks,,,New,10000,"Ross 1.4 oz Glue Stick in white is handy, safe and non-toxic. Easily washes off and is perfect for preschool use.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1599957&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,GLUE/ADHESIVES,GLUE STICK,,School Specialty,001869,EACH,$1.72,$1.98,$2.29
Pendaflex Vertical Filing Jackets - Letter Size- 1 inch Expansion Vertical Filing Jackets,$0.99,Office Supplies,Filing & Organization,Folders & Report Covers,,,,New,10000,Esselte Pendaflex Vertical Filing Jacket with 1 in expansion measures 11-3/4 in x 9-1/2 in and features a one-piece construction. Manila filing jacket has back that extend 1/2 in above the front while the gussets extend to the full height of the jacket.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1601665&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,FILING,FILE JACKETS,,School Specialty,001929,EACH,$0.74,$0.85,$0.99
School Smart Marbleback Composition Books - Hard Cover; 60 Sheet Count - 9.75 x 7.5 .,$1.59,Office Supplies,General Supplies,Paper Products,,,,New,10000,School Smart Marbleback Composition Book measuring 9-3/4 in x 7-1/2 in features popular black marble pattern covers that are taped and sewn to 15 lb white sulphite paper. Book with 60 leaves/120 pages is wide ruled with red margin lines and comes with use,"ful weights as well as measures information printed on back cover. Hard cover comes in three degrees of thickness and have space where students can write name, school and grade.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596870&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002040,EACH,$1.19,$1.37,$1.59
School Smart Marbleback Composition Books - Flexible Cover; 20 sheet count - 8.5 x 7 .,$1.19,Office Supplies,General Supplies,Paper Products,,,,New,10000,"School Smart Marbleback Composition Book measuring 8-1/2 in x 7 in features flexible, black marble pattern cover with space to write student&#39;s name, school and grade. 3/8 in Wide ruled book with 20 leaves/40 pages has useful weights and measures infor",mation printed on back cover. It has a cover taped as well as sewn to white sulphite paper of 15 lb basis weight.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596870&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002043,EACH,$0.89,$1.02,$1.19
School Smart Marbleback Composition Books - Flexible Cover; 36 Sheet Count - 8.5 x 7 .,$1.19,Office Supplies,General Supplies,Paper Products,,,,New,10000,"School Smart Marbleback Composition Book measuring 8-1/2 in x 7 in features flexible, black marble pattern cover with space to write student&#39;s name, school and grade. 3/8 in Wide ruled book with 36 leaves/72 pages has useful weights and measures infor",mation printed on back cover. It has a cover taped as well as sewn to white sulphite paper of 15 lb basis weight.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596870&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002046,EACH,$0.89,$1.02,$1.19
School Smart Marbleback Composition Books - Flexible Cover;24 Sheet Count - 8.5 x 7 .,$1.19,Office Supplies,General Supplies,Paper Products,,,,New,10000,"School Smart Marbleback Composition Book measuring 8-1/2 in x 7 in features flexible, black marble pattern cover with space to write student&#39;s name, school and grade. 3/8 in Wide ruled book with 24 leaves/48 pages has useful weights and measures infor",mation printed on back cover. It has cover taped as well as sewn to white sulphite paper of 15 lb basis weight.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596870&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002049,EACH,$0.89,$1.02,$1.19
School Smart Marbleback Composition Books - Flexible Cover; 60 Sheet Count - 9.75 x 7.5 .,$1.59,Office Supplies,General Supplies,Paper Products,,,,New,10000,School Smart Marbleback Composition Book measuring 9-3/4 in x 7-3/4 in features popular black marble pattern covers that are taped and sewn to 15 lb white sulphite paper. Book with 60 leaves/120 pages is wide ruled with red margin lines and comes with use,"ful weights as well as measures information printed on back cover. Flexible cover comes in three degrees of thickness and have space where students can write name, school and grade.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596870&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002052,EACH,$1.19,$1.37,$1.59
School Smart Marbleback Composition Books - Flexible Cover 48 Sheet Count - 9.75 x 7.75 .,$1.59,Office Supplies,General Supplies,Paper Products,,,,New,10000,"School Smart Marbleback Composition Book measuring 9-3/4 in x 7-3/4 in features flexible, black marble pattern cover with space to write student&#39;s name, school and grade. 3/8 in Wide ruled book with 48 leaves/96 pages has useful weights and measures i",nformation printed on back cover. It has cover taped as well as sewn to white sulphite paper of 15 lb basis weight.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596870&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002055,EACH,$1.19,$1.37,$1.59
School Smart Marbleback Composition Books - Flexible Cover; 48 Sheet Count - 8.5 x 7 .,$1.39,Office Supplies,General Supplies,Paper Products,,,,New,10000,School Smart Marbleback Composition Book measuring 8-1/2 in x 7 in features popular black marble pattern covers that are taped and sewn to 15 lb white sulphite paper. Book with 48 leaves/96 pages is wide ruled with red margin lines and comes with useful w,"eights as well as measures information printed on back cover. Flexible cover comes in three degrees of thickness and have space where students can write name, school and grade.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596870&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,COMPOSITION,,School Specialty,002058,EACH,$1.04,$1.20,$1.39
Sharpie Fine Point Permanent Markers - Pack of 8 - Assorted Colors,$5.89,Office Supplies,Office Instruments,Writing & Drawing Instruments,Markers & Highlighters,,,New,10000,"Sharpie Fine Permanent Marker features waterproof ink that is great for identifying and labeling. Marker has a durable fine point tip that produces bold, detailed lines on most surfaces like metal, glass, plastic, foil, cloth, rubber, waxed paper and more",". Marker is sold as 8 per set and includes one each of black, blue, green, yellow, orange, red, purple and brown colors.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596874&Rendition=Small,,,,,SUPPLIES,WRITING,PERMANENT MARKERS,FINE,,School Specialty,002133,SET OF 8,$4.42,$5.08,$5.89
uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Micro Point - Black,$2.39,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,Pens,,New,10000,Uni-Ball Vision Roller Ball Pen with black micro point of 0.5 mm features uni Super Ink. Pen with archival quality and acid-free ink has an exclusive uni-flow ink system that regulates a steady flow of waterproof ink to the point for consistent smoothness, and color intensity. Pen featuring visible ink supply has stainless steel tip for durability.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596883&Rendition=Small,,,,,SUPPLIES,WRITING,ROLLERBALL PENS,ROLLERBALL STICK,,School Specialty,002824,EACH,$1.79,$2.06,$2.39
uni-ball Vision Waterproof Stainless Steel Tipped Roller Ball Pen - Micro Point - Red,$2.39,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,Pens,,New,10000,Uni-Ball Vision 0.5 mm Red Rollerball Pen offers consistent smoothness and color intensity with an exclusive uni-flow super ink system which regulates a steady flow of waterproof ink to the point. Pen with archival quality and acid-free ink includes a vis,ible ink supply and a stainless steel tip.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596889&Rendition=Small,,,,,SUPPLIES,WRITING,ROLLERBALL PENS,ROLLERBALL STICK,,School Specialty,002825,EACH,$1.79,$2.06,$2.39
