Title,Price,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Condition,Quantity,Description 1,Description 2,Description 3,Description 4,Description 5,Description 6,Description 7,Description 8,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Policy,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM,META_purchaseCost,META_fullCost,META_sellPrice
School Smart Staple Remover,.69,Office Supplies,General Supplies,Staples,,,,New,10000,Rust-proof steel jaws remove staples easily without damaging paper. Contoured to fit the fingers.</p> <b> </b> <ul> <li>One Remover</li> <li>Great price on basic remover</li> <li>Steel jaws</li> <li>Contoured plastic handle</li> </ul> <p>,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763339&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,STAPLING/ACCESSORIES,STAPLE REMOVER,,School Specialty,000189,EACH,$0.52,$0.60,.69
Prang Semi Moist Oval Pan Watercolors - Set of 8 - Assorted Colors,3.69,Arts & Entertainment,Hobbies & Creative Arts,Crafts & Hobbies,Drawing & Painting,Painting,Art Paint,New,10000,"Unbreakable plastic tray contains brilliant quality pigments. Semi-moist watercolors are non-toxic. Tray is flexible for easy refill. Set includes Red, Yellow, Blue, Orange, Green, Black, Violet and Brown. Also includes No. 7 brush. Oval, Set of 8.</p> <b","> </b> <ul> <li>Quantity One, 8-Color Set</li> <li>Premium, intense pigments for brilliant color</li> <li>Unique semi-moist, wax-free formulation</li> <li>Set includes a wood-handled paintbrush</li> <li>Sturdy, refillable white case includes a built-in mi",xing area</li> </ul> <p> <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msds_001233.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg,' border='0' alt='MSDS Sheet Download' /><br />MSDS download for Prang Semi Moist Oval Pan Watercolors - Set of 8 - Assorted Colors</a></p>,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=759515&encrypt=.jpg,,,,,SCHOOL SUPPLIES,ART SUPPLIES,PAINT,WATERCOLOR PAINT,,School Specialty,001233,SET OF 8,$2.77,$3.19,3.69
Elmers No-Wrinkle Rubber Cement with Brush - 8 Ounces,4.29,Hardware,"Adhesives, Coatings & Sealants",Glues,Rubber Cement,,,New,10000,"The cleanest of all paper adhesives, this waterproof rubber cement can be used for temporary or permanent bonding without wrinkles or stains. Glue one surface for papers to be repositionable, glue both surfaces for a more permanent bonding. Thinner can be", added as needed to keep optimum consistency for smooth spreading. Dries quickly so excess may be rubbed off easily - cleans as you rub. 8 oz. Jar w/Brush in Cap <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/imag,e/msds_001335.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Sheet Download' /><br />MSDS download for Elmers No-Wrinkle Rubber Cement with Brush - 8 Ounces,</a></p>,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=924463&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,GLUE/ADHESIVES,RUBBER CEMENT,,School Specialty,001335,EACH,$3.22,$3.70,4.29
Aleenes Tacky Glue - 4 Ounce Bottle,1.99,Hardware,"Adhesives, Coatings & Sealants",Glues,White Glue,,,New,10000,"Superior for craft projects! Apply to paper, wood and non-washable fabric craft projects. Dries colorless and flexible. Not intended for items to be washed. <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msd",s_001665.pdf 'target='_blank'><img src='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestmktger/documents/image/x386912.jpg' border='0' alt='MSDS Sheet Download' /><br />MSDS download for Aleenes Tacky Glue - 4 Ounce Bottle</a></p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=751558&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,GLUE/ADHESIVES,WHITE/GEL,,School Specialty,001665,EACH,$1.49,$1.71,1.99
School Smart Flexible Pencil Case - 8 1/2 x 4 3/4 - Blue,1.19,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,,,New,10000,"Constructed of soft, vinyl material with metal zipper. Size 8 1/2"" x 4 3/4"".",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=758135&encrypt=.jpg,,,,,SCHOOL SUPPLIES,WRITING,WRITING ACCESSORIES,PENCIL STORAGE,,School Specialty,003171,EACH,$0.89,$1.02,1.19
Sportime Abdominal Crunch Strips for Grades 5 and up - 4 1/2 x 30 inches - Orange,3.99,Sporting Goods,Exercise & Fitness,,,,,New,10000,One primary component of the numerous health-related youth fitness tests in use is a measure of abdominal strength and endurance. The curl-up or crunch has been adopted because it provides a non-biased measurement that is easily performed in a large group," setting. <p><b>Features:</b></p><ul>  <li> Color: Orange</li>  <li>Grade 5 and up</li>  <li>4-1/2&quot;W x 30&quot;L. (11.4cm x 76.2cm).</li></ul><p><iframe width=""420"" height=""315"" frameborder=""0"" src=""http://www.youtube.com/embed/UAEFYcHVnwU""></iframe>",</p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=770518&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,TECHNOLOGY/ASSESSMENT,HEALTH RELATED FITNESS/ASSESSMENT,,School Specialty,003314,EACH,$2.39,$2.75,3.99
School Smart Push Pins - 3/8 inch Long Pins - Box of 100 - Assorted Colors,1.39,Office Supplies,General Supplies,Tacks & Pushpins,,,,New,10000,"Easier to grip for pinning and removing from bulletin boards than conventional thumb tacks. Assorted Colors 1/2"" plastic grip heads; 3/8"" ground steel points. Box/100.</p> <b> </b> <ul> <li>Perfect Choice For Bulletin Boards</li> <li>Assorted colors</li> ",</ul> <p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=762224&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,CLIPS/FASTENERS/RUBBER BANDS,PINS,,School Specialty,003351,PACK OF 100,$1.04,$1.20,1.39
Wiffle-Ball Baseball,1.59,Sporting Goods,Team Sports,Baseball,,,,New,10000,This Wiffle Baseball is specially manufactured for Sportime by Wiffle. These unique balls have slots in both halves to allow it to fly and bounce straighter and truer (normal Wiffle Balls are slotted on one side only).</p> <b> </b> <ul> <li>Sold Individua,lly</li> <li>Specially manufactured for Sportime by Wiffle</li> <li>Unlike standard Wiffle Balls which are designed to curve very easily</li> <li>Sportime's Wiffle Ball features a unique design with slots on both sides of the ball</li> <li>The eight addit,ional slots allow straighter flight and bounce</li> </ul> <p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=771687&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,,School Specialty,003443,EACH,$1.19,$1.37,1.59
Sportime BigBopper Tee,31.99,Sporting Goods,Team Sports,Baseball,,,,New,10000,BigBopper Tee is the ideal aid for supporting large striking targets. No longer will your batting tees restrict ball size. BigBopper Tee fits into your cones and a standard batting tee. Just remember that larger balls have more mass. Under no circumstance,"s should you use balls like therapy, cage or push balls. Includes base, adjustable tee stand and BigBopper insert.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763597&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,,School Specialty,003898,EACH,$23.99,$27.59,31.99
Carlton F2 Badminton Shuttlecocks - Set of 6 - White,13.99,Sporting Goods,Racquet Sports,Badminton,,,,New,10000,"The Carlton White F2 Badminton Shuttlecock is high performance, medium speed and hi-visibility. Approved for tournament play, cork base, plasticized nylon skirt. Pack of 6. Latex free.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=766385&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,SPORTS,BADMINTON,,School Specialty,004015,PACK OF 6,$10.49,$12.06,13.99
