Title,Price,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Condition,Quantity,Description 1,Description 2,Description 3,Description 4,Description 5,Description 6,Description 7,Description 8,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Policy,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM,META_purchaseCost,META_fullCost,META_sellPrice
School Smart Staple Remover,$0.69,Office Supplies,General Supplies,Staples,,,,New,10000,School Smart Staple Remover is contoured to fit the fingers. Rust-proof steel jaws remove staples easily without damaging paper.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596822&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,STAPLING/ACCESSORIES,STAPLE REMOVER,,School Specialty,000189,EACH,$0.52,$0.60,$0.69
Prang Semi Moist Oval Pan Watercolors - Set of 8 - Assorted Colors,$3.69,Arts & Entertainment,Hobbies & Creative Arts,Crafts & Hobbies,Drawing & Painting,Painting,Art Paint,New,10000,"Prang Semi-Moist Watercolor Paint Set contains 8 assorted colors that includes red, yellow, blue, green, orange, violet, brown and black. Oval pan set features choice pigments blended with specially formulated binders to offer a superior and truly brillia",nt transparency. Non-Toxic watercolor comes with plastic case having a hinged mixing lid and includes a brush.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596839&Rendition=Small,,,,,SUPPLIES,ART SUPPLIES,PAINT,WATERCOLOR PAINT,,School Specialty,001233,SET OF 8,$2.77,$3.19,$3.69
Elmers No-Wrinkle Rubber Cement with Brush - 8 Ounces,$4.29,Hardware,"Adhesives, Coatings & Sealants",Glues,Rubber Cement,,,New,10000,Elmers Rubber Cement in 8 oz jar comes with a brush in cap and can be used for temporary or permanent bonding without wrinkles or stains. Add thinner to keep optimum consistency for smooth spreading. Gum one surface for papers to be repositionable and bot,h surfaces for a more permanent bonding. Waterproof cement dries out rapidly and cleans as you rub. This natural rubber formula spreads easily and any excess cement can be rubbed off with ease. Acid-free and photo-safe cement with ability to reposition wo,rk is ideal for projects that require accurate placement.,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596855&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,GLUE/ADHESIVES,RUBBER CEMENT,,School Specialty,001335,EACH,$3.22,$3.70,$4.29
Aleenes Tacky Glue - 4 Ounce Bottle,$1.99,Hardware,"Adhesives, Coatings & Sealants",Glues,White Glue,,,New,10000,"Aleenes Tacky Glue in 4 oz bottle is applied to paper, wood and non-washable fabric craft projects. Glue is flexible and dries out colorless.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596862&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,GLUE/ADHESIVES,WHITE/GEL,,School Specialty,001665,EACH,$1.49,$1.71,$1.99
School Smart Flexible Pencil Case - 8 1/2 x 4 3/4 - Blue,$1.19,Office Supplies,Office Instruments,Writing & Drawing Instruments,Pens & Pencils,,,New,10000,"School Smart Flexible Pencil Case measuring 8-1/2 in x 4-3/4 in is made of soft, vinyl material and comes with a metal zipper.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596895&Rendition=Small,,,,,SUPPLIES,WRITING,WRITING ACCESSORIES,PENCIL STORAGE,,School Specialty,003171,EACH,$0.89,$1.02,$1.19
Sportime Abdominal Crunch Strips for Grades 5 and up - 4 1/2 x 30 inches - Orange,$3.99,Sporting Goods,Exercise & Fitness,,,,,New,10000,Sportime Orange AbDominal Crunch Strip measuring 4-1/2 in x 30 in is ideal for grades 5 and above. Crunch Strip is used to measure the abDominal strength and endurance. The curl-up or crunch is adopted as it offers a non-biased measurement that is easily ,performed in a large group setting.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596897&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,TECHNOLOGY/ASSESSMENT,HEALTH RELATED FITNESS/ASSESSMENT,,School Specialty,003314,EACH,$2.39,$2.75,$3.99
School Smart Push Pins - 3/8 inch Long Pins - Box of 100 - Assorted Colors,$1.39,Office Supplies,General Supplies,Tacks & Pushpins,,,,New,10000,"School Smart Push Pin featuring 1/2 in plastic grip heads with 3/8 in ground steel points is the ideal choice for bulletin boards. This push pin is easier to grip for pinning and removing from bulletin boards than the conventional thumb tacks, sold as 100", per pack in assorted colors.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596901&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,CLIPS/FASTENERS/RUBBER BANDS,PINS,,School Specialty,003351,PACK OF 100,$1.04,$1.20,$1.39
Wiffle-Ball Baseball,$1.59,Sporting Goods,Team Sports,Baseball,,,,New,10000,Wiffle Baseball features slots in both halves for allowing it to fly and bounce straighter and truer.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596906&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,,School Specialty,003443,EACH,$1.19,$1.37,$1.59
Sportime BigBopper Tee,$31.99,Sporting Goods,Team Sports,Baseball,,,,New,10000,"Sportime Big Bopper Batting Tee And Adapter is perfect to enhance striking skill levels in players. This big bopper tee consists of a base, an adjustable tee stand and a big bopper insert. This tee which is ideal aid for supporting large striking targets ","fits your cones and a standard batting tee. This batting tee does not restrict ball size, but therapy/push/cage balls must be avoided.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596942&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,,School Specialty,003898,EACH,$23.99,$27.59,$31.99
Carlton F2 Badminton Shuttlecocks - Set of 6 - White,$13.99,Sporting Goods,Racquet Sports,Badminton,,,,New,10000,"Carlton F2 White Medium Speed Badminton Shuttlecock features plasticized nylon skirt, cork base with high performance. Highly visible cock is approved for tournament play and is sold as 6 per pack.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596948&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,SPORTS,BADMINTON,,School Specialty,004015,PACK OF 6,$10.49,$12.06,$13.99
